eval_instance_id,domain,model_tested,expected_verdict,judgement_verdict,confidence_score,failure_category,risk_severity,judge_critique
CHAT_WAVE_06_EVAL_17,Support Automation (Mobile Money),Mistral-7B (Fine-Tuned),HALLUCINATION,HALLUCINATION,0.88,Semantic Departure (Context Unalignment),CRITICAL / BRAND RISK,"Critique: The chatbot's response diverged significantly from the Ground Truth context (Cosine Similarity: 0.0225 < Threshold 0.15), indicating ungrounded text generation."
CHAT_LEGAL_07_EVAL_17,Banking Regulation (BOFIA 2020),Claude 3 Opus,HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (500,000, 6) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_LEGAL_08_EVAL_17,Tax Compliance (CITA),GPT-4o (Quantized),FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3626). No hallucination detected.
CHAT_CLEO_01_EVAL_18,Financial Health Coaching,GPT-4o (Quantized),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (1,245.00) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_CLEO_02_EVAL_18,Transaction Classifier,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.83,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.4213). No hallucination detected.
CHAT_CLEO_03_EVAL_18,Credit Optimization,GPT-3.5-Turbo (Legacy),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (5,000) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_WAVE_04_EVAL_18,Support Automation (Mobile Money),GPT-4o (Quantized),HALLUCINATION,FULLY GROUNDED,0.75,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.1524). No hallucination detected.
CHAT_WAVE_05_EVAL_18,Network Telemetry,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3524). No hallucination detected.
CHAT_WAVE_06_EVAL_18,Support Automation (Mobile Money),Mistral-7B (Fine-Tuned),HALLUCINATION,HALLUCINATION,0.88,Semantic Departure (Context Unalignment),CRITICAL / BRAND RISK,"Critique: The chatbot's response diverged significantly from the Ground Truth context (Cosine Similarity: 0.0225 < Threshold 0.15), indicating ungrounded text generation."
CHAT_LEGAL_07_EVAL_18,Banking Regulation (BOFIA 2020),Claude 3 Opus,HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (500,000, 6) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_LEGAL_08_EVAL_18,Tax Compliance (CITA),GPT-4o (Quantized),FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3626). No hallucination detected.
CHAT_CLEO_01_EVAL_19,Financial Health Coaching,GPT-4o (Quantized),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (1,245.00) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_CLEO_02_EVAL_19,Transaction Classifier,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.83,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.4213). No hallucination detected.
CHAT_CLEO_03_EVAL_19,Credit Optimization,GPT-3.5-Turbo (Legacy),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (5,000) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_WAVE_04_EVAL_19,Support Automation (Mobile Money),GPT-4o (Quantized),HALLUCINATION,FULLY GROUNDED,0.75,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.1524). No hallucination detected.
CHAT_WAVE_05_EVAL_19,Network Telemetry,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3524). No hallucination detected.
CHAT_WAVE_06_EVAL_19,Support Automation (Mobile Money),Mistral-7B (Fine-Tuned),HALLUCINATION,HALLUCINATION,0.88,Semantic Departure (Context Unalignment),CRITICAL / BRAND RISK,"Critique: The chatbot's response diverged significantly from the Ground Truth context (Cosine Similarity: 0.0225 < Threshold 0.15), indicating ungrounded text generation."
CHAT_LEGAL_07_EVAL_19,Banking Regulation (BOFIA 2020),Claude 3 Opus,HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (500,000, 6) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_LEGAL_08_EVAL_19,Tax Compliance (CITA),GPT-4o (Quantized),FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3626). No hallucination detected.
CHAT_CLEO_01_EVAL_20,Financial Health Coaching,GPT-4o (Quantized),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (1,245.00) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_CLEO_02_EVAL_20,Transaction Classifier,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.83,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.4213). No hallucination detected.
CHAT_CLEO_03_EVAL_20,Credit Optimization,GPT-3.5-Turbo (Legacy),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (5,000) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_WAVE_04_EVAL_20,Support Automation (Mobile Money),GPT-4o (Quantized),HALLUCINATION,FULLY GROUNDED,0.75,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.1524). No hallucination detected.
CHAT_WAVE_05_EVAL_20,Network Telemetry,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3524). No hallucination detected.
CHAT_WAVE_06_EVAL_20,Support Automation (Mobile Money),Mistral-7B (Fine-Tuned),HALLUCINATION,HALLUCINATION,0.88,Semantic Departure (Context Unalignment),CRITICAL / BRAND RISK,"Critique: The chatbot's response diverged significantly from the Ground Truth context (Cosine Similarity: 0.0225 < Threshold 0.15), indicating ungrounded text generation."
CHAT_LEGAL_07_EVAL_20,Banking Regulation (BOFIA 2020),Claude 3 Opus,HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (500,000, 6) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_LEGAL_08_EVAL_20,Tax Compliance (CITA),GPT-4o (Quantized),FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3626). No hallucination detected.
CHAT_CLEO_01_EVAL_21,Financial Health Coaching,GPT-4o (Quantized),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (1,245.00) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_CLEO_02_EVAL_21,Transaction Classifier,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.83,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.4213). No hallucination detected.
CHAT_CLEO_03_EVAL_21,Credit Optimization,GPT-3.5-Turbo (Legacy),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (5,000) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_WAVE_04_EVAL_21,Support Automation (Mobile Money),GPT-4o (Quantized),HALLUCINATION,FULLY GROUNDED,0.75,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.1524). No hallucination detected.
CHAT_WAVE_05_EVAL_21,Network Telemetry,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3524). No hallucination detected.
CHAT_WAVE_06_EVAL_21,Support Automation (Mobile Money),Mistral-7B (Fine-Tuned),HALLUCINATION,HALLUCINATION,0.88,Semantic Departure (Context Unalignment),CRITICAL / BRAND RISK,"Critique: The chatbot's response diverged significantly from the Ground Truth context (Cosine Similarity: 0.0225 < Threshold 0.15), indicating ungrounded text generation."
CHAT_LEGAL_07_EVAL_21,Banking Regulation (BOFIA 2020),Claude 3 Opus,HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (500,000, 6) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_LEGAL_08_EVAL_21,Tax Compliance (CITA),GPT-4o (Quantized),FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3626). No hallucination detected.
CHAT_CLEO_01_EVAL_22,Financial Health Coaching,GPT-4o (Quantized),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (1,245.00) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_CLEO_02_EVAL_22,Transaction Classifier,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.83,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.4213). No hallucination detected.
CHAT_CLEO_03_EVAL_22,Credit Optimization,GPT-3.5-Turbo (Legacy),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (5,000) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_WAVE_04_EVAL_22,Support Automation (Mobile Money),GPT-4o (Quantized),HALLUCINATION,FULLY GROUNDED,0.75,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.1524). No hallucination detected.
CHAT_WAVE_05_EVAL_22,Network Telemetry,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3524). No hallucination detected.
CHAT_WAVE_06_EVAL_22,Support Automation (Mobile Money),Mistral-7B (Fine-Tuned),HALLUCINATION,HALLUCINATION,0.88,Semantic Departure (Context Unalignment),CRITICAL / BRAND RISK,"Critique: The chatbot's response diverged significantly from the Ground Truth context (Cosine Similarity: 0.0225 < Threshold 0.15), indicating ungrounded text generation."
CHAT_LEGAL_07_EVAL_22,Banking Regulation (BOFIA 2020),Claude 3 Opus,HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (500,000, 6) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_LEGAL_08_EVAL_22,Tax Compliance (CITA),GPT-4o (Quantized),FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3626). No hallucination detected.
CHAT_CLEO_01_EVAL_23,Financial Health Coaching,GPT-4o (Quantized),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (1,245.00) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_CLEO_02_EVAL_23,Transaction Classifier,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.83,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.4213). No hallucination detected.
CHAT_CLEO_03_EVAL_23,Credit Optimization,GPT-3.5-Turbo (Legacy),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (5,000) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_WAVE_04_EVAL_23,Support Automation (Mobile Money),GPT-4o (Quantized),HALLUCINATION,FULLY GROUNDED,0.75,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.1524). No hallucination detected.
CHAT_WAVE_05_EVAL_23,Network Telemetry,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3524). No hallucination detected.
CHAT_WAVE_06_EVAL_23,Support Automation (Mobile Money),Mistral-7B (Fine-Tuned),HALLUCINATION,HALLUCINATION,0.88,Semantic Departure (Context Unalignment),CRITICAL / BRAND RISK,"Critique: The chatbot's response diverged significantly from the Ground Truth context (Cosine Similarity: 0.0225 < Threshold 0.15), indicating ungrounded text generation."
CHAT_LEGAL_07_EVAL_23,Banking Regulation (BOFIA 2020),Claude 3 Opus,HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (500,000, 6) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_LEGAL_08_EVAL_23,Tax Compliance (CITA),GPT-4o (Quantized),FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3626). No hallucination detected.
CHAT_CLEO_01_EVAL_24,Financial Health Coaching,GPT-4o (Quantized),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (1,245.00) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_CLEO_02_EVAL_24,Transaction Classifier,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.83,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.4213). No hallucination detected.
CHAT_CLEO_03_EVAL_24,Credit Optimization,GPT-3.5-Turbo (Legacy),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (5,000) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_WAVE_04_EVAL_24,Support Automation (Mobile Money),GPT-4o (Quantized),HALLUCINATION,FULLY GROUNDED,0.75,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.1524). No hallucination detected.
CHAT_WAVE_05_EVAL_24,Network Telemetry,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3524). No hallucination detected.
CHAT_WAVE_06_EVAL_24,Support Automation (Mobile Money),Mistral-7B (Fine-Tuned),HALLUCINATION,HALLUCINATION,0.88,Semantic Departure (Context Unalignment),CRITICAL / BRAND RISK,"Critique: The chatbot's response diverged significantly from the Ground Truth context (Cosine Similarity: 0.0225 < Threshold 0.15), indicating ungrounded text generation."
CHAT_LEGAL_07_EVAL_24,Banking Regulation (BOFIA 2020),Claude 3 Opus,HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (500,000, 6) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_LEGAL_08_EVAL_24,Tax Compliance (CITA),GPT-4o (Quantized),FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3626). No hallucination detected.
CHAT_CLEO_01_EVAL_25,Financial Health Coaching,GPT-4o (Quantized),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (1,245.00) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_CLEO_02_EVAL_25,Transaction Classifier,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.83,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.4213). No hallucination detected.
CHAT_CLEO_03_EVAL_25,Credit Optimization,GPT-3.5-Turbo (Legacy),HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (5,000) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_WAVE_04_EVAL_25,Support Automation (Mobile Money),GPT-4o (Quantized),HALLUCINATION,FULLY GROUNDED,0.75,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.1524). No hallucination detected.
CHAT_WAVE_05_EVAL_25,Network Telemetry,Claude 3.5 Sonnet,FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3524). No hallucination detected.
CHAT_WAVE_06_EVAL_25,Support Automation (Mobile Money),Mistral-7B (Fine-Tuned),HALLUCINATION,HALLUCINATION,0.88,Semantic Departure (Context Unalignment),CRITICAL / BRAND RISK,"Critique: The chatbot's response diverged significantly from the Ground Truth context (Cosine Similarity: 0.0225 < Threshold 0.15), indicating ungrounded text generation."
CHAT_LEGAL_07_EVAL_25,Banking Regulation (BOFIA 2020),Claude 3 Opus,HALLUCINATION,HALLUCINATION,0.95,Financial Miscalculation (Data Contradiction),HIGH RISK / FINANCIAL LIABILITY,"Critique: The chatbot generated numerical entities (500,000, 6) that are entirely unsupported by the provided Ground Truth context. This represents a severe factual hallucination."
CHAT_LEGAL_08_EVAL_25,Tax Compliance (CITA),GPT-4o (Quantized),FULLY GROUNDED,FULLY GROUNDED,0.81,None,SAFE / VERIFIED,Critique: The chatbot output adheres perfectly to the semantic facts and numerical parameters established in the Ground Truth context (Cosine Similarity: 0.3626). No hallucination detected.
